country,method,hydro_dependency,hydro_driven_crisis,f1,mcc,crisis_detected,crisis_total
Argentina,consensus,0.13630969387755099,False,0.0,-0.05298129428260175,0,3
Argentina,weighted_consensus,0.13630969387755099,False,0.0,-0.059904229787315376,0,3
Brazil,consensus,0.4789196969696971,True,0.7272727272727273,0.7146856415459762,4,6
Brazil,weighted_consensus,0.4789196969696971,True,0.7272727272727273,0.7146856415459762,4,6
Chile,consensus,0.14250813008130073,True,0.0,-0.09781149836858094,0,12
Chile,weighted_consensus,0.14250813008130073,True,0.0,-0.11303279513668932,0,12
Colombia,consensus,0.4110041666666666,True,0.42857142857142855,0.3985405706652278,3,6
Colombia,weighted_consensus,0.4110041666666666,True,0.42857142857142855,0.3985405706652278,3,6
Ecuador,consensus,0.3812711764705883,True,0.42857142857142855,0.4014775342734831,3,9
Ecuador,weighted_consensus,0.3812711764705883,True,0.42857142857142855,0.4014775342734831,3,9
